,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
1652,Lester Quiñones,2.5,0.5,0.8,0.3,0.5,0.3,0.0,1.3,4.0,4.5,0.5,1.3,0.4,0.6,1.0,1.5,0.67
1653,Usman Garuba,2.5,0.8,3.8,1.25,2.55,0.5,0.45,0.45,49.5,11.45,0.95,2.1,0.46,0.52,0.3,0.45,0.67
1654,Antonio Burks,2.5,1.25,0.55,0.05,0.55,0.45,0.0,0.55,40.5,9.55,1.05,2.5,0.41,0.42,0.4,0.6,0.59
1655,Chris McCullough,2.48,0.16,1.5,0.52,0.98,0.38,0.2,0.3,15.0,6.78,0.96,2.28,0.37,0.39,0.36,0.64,0.58
1656,Loren Woods,2.48,0.32,3.02,1.16,1.84,0.22,0.52,0.54,31.0,10.56,1.0,2.2,0.47,0.47,0.5,0.78,0.6
1657,Jason Collins,2.47,0.57,2.74,0.89,1.85,0.41,0.39,0.62,48.12,16.19,0.87,2.16,0.39,0.39,0.7,1.14,0.58
1658,Anthony Goldwire,2.46,1.04,0.84,0.11,0.74,0.3,0.0,0.38,12.1,9.15,0.84,2.41,0.34,0.4,0.38,0.48,0.74
1659,Maalik Wayns,2.45,1.05,0.45,0.0,0.42,0.45,0.0,0.38,14.0,6.52,0.9,2.6,0.37,0.41,0.48,0.52,0.92
1660,Adrian Griffin,2.45,0.96,2.28,0.82,1.45,0.62,0.1,0.55,42.25,11.92,1.08,2.52,0.4,0.4,0.3,0.42,0.64
1661,Linton Johnson,2.44,0.33,1.98,0.59,1.38,0.26,0.18,0.58,17.08,9.52,1.01,2.46,0.39,0.41,0.3,0.42,0.72
1662,Malcolm Miller,2.43,0.23,0.7,0.17,0.53,0.13,0.1,0.17,17.67,6.97,0.8,1.83,0.43,0.59,0.23,0.33,0.71
1663,Sean Singletary,2.43,0.8,0.97,0.3,0.7,0.33,0.0,0.6,24.67,8.37,0.83,2.37,0.36,0.42,0.5,0.57,0.89
1664,Art Long,2.43,0.3,2.43,0.87,1.53,0.23,0.4,0.97,17.33,8.8,1.13,3.03,0.37,0.39,0.1,0.47,0.2
1665,Luis Flores,2.43,0.47,0.43,0.37,0.07,0.07,0.0,0.47,10.67,4.57,0.93,1.87,0.49,0.62,0.07,0.07,1.0
1666,Sean Marks,2.42,0.16,1.82,0.59,1.25,0.11,0.36,0.38,24.5,8.32,0.99,2.26,0.44,0.44,0.48,0.69,0.67
1667,John Butler,2.4,0.6,0.9,0.2,0.7,0.4,0.5,0.1,19.0,11.6,0.9,2.8,0.32,0.4,0.2,0.2,0.75
1668,Jordan Loyd,2.4,0.5,0.8,0.1,0.7,0.0,0.0,0.2,12.0,4.6,0.7,1.5,0.44,0.56,0.8,0.9,0.82
1669,Daniel Oturu,2.4,0.15,1.65,0.5,1.1,0.05,0.45,0.15,16.5,7.2,0.85,1.85,0.46,0.47,0.65,1.05,0.68
1670,Andrew Goudelock,2.4,0.33,0.7,0.4,0.27,0.3,0.1,0.47,16.33,7.6,0.93,2.97,0.28,0.32,0.23,0.27,0.83
1671,Zendon Hamilton,2.4,0.12,1.5,0.52,1.0,0.4,0.05,0.45,14.83,5.92,0.62,1.53,0.39,0.39,1.17,1.8,0.69
1672,Trey Thompkins,2.4,0.1,1.0,0.2,0.8,0.1,0.1,0.3,24.0,5.0,1.0,2.5,0.39,0.43,0.2,0.3,0.71
1673,Samaki Walker,2.4,0.38,2.65,0.9,1.75,0.2,0.42,0.55,30.25,11.0,0.92,2.4,0.29,0.29,0.57,0.82,0.74
1674,Marcus Paige,2.4,0.6,0.8,0.0,0.8,0.0,0.0,0.0,5.0,5.6,0.8,2.8,0.29,0.36,0.4,0.4,1.0
1675,Pape Sow,2.4,0.2,2.4,0.97,1.43,0.33,0.23,0.4,25.33,9.43,0.87,2.1,0.39,0.39,0.73,1.1,0.66
1676,Hamed Haddadi,2.39,0.33,2.77,1.03,1.74,0.11,0.67,0.71,25.86,7.93,0.93,2.07,0.45,0.45,0.53,0.87,0.6
1677,Alex Acker,2.38,0.5,0.88,0.22,0.62,0.22,0.12,0.38,13.75,6.95,1.0,2.85,0.35,0.38,0.12,0.28,0.5
1678,James Young,2.38,0.28,0.88,0.15,0.72,0.2,0.05,0.18,23.75,8.85,0.82,2.2,0.36,0.46,0.35,0.57,0.53
1679,Kobi Simmons,2.37,1.03,0.8,0.2,0.57,0.2,0.2,0.53,12.67,9.23,0.9,2.37,0.3,0.35,0.4,0.4,1.0
1680,Vernon Carey Jr.,2.36,0.08,1.54,0.84,0.72,0.24,0.18,0.38,8.8,5.64,0.84,1.66,0.47,0.47,0.68,1.36,0.67
1681,Guerschon Yabusele,2.35,0.45,1.45,0.55,0.9,0.15,0.2,0.4,37.0,6.6,0.85,1.85,0.44,0.52,0.45,0.6,0.68
1682,Lou Amundson,2.35,0.36,2.72,1.19,1.54,0.28,0.49,0.54,28.95,9.64,0.97,2.24,0.41,0.41,0.41,1.01,0.4
1683,Sergei Monia,2.33,0.5,1.5,0.3,1.2,0.3,0.13,0.33,17.33,10.03,0.8,2.57,0.22,0.26,0.47,0.57,0.79
1684,Davon Reed,2.33,0.58,1.38,0.2,1.17,0.35,0.08,0.33,27.5,8.42,0.83,2.17,0.43,0.53,0.25,0.43,0.6
1685,Patrick O'Bryant,2.32,0.28,1.5,0.35,1.15,0.22,0.48,0.5,21.5,6.35,1.0,2.02,0.5,0.5,0.32,0.57,0.56
1686,Jared Cunningham,2.31,0.46,0.76,0.08,0.7,0.25,0.01,0.39,17.62,7.24,0.66,2.01,0.35,0.4,0.8,1.09,0.68
1687,Brandon Paul,2.3,0.6,1.1,0.1,1.0,0.4,0.1,0.5,64.0,9.0,0.9,2.0,0.43,0.49,0.3,0.7,0.51
1688,Dee Brown,2.3,1.75,1.1,0.25,0.9,0.38,0.02,0.95,21.75,12.65,0.78,2.42,0.32,0.39,0.45,0.57,0.65
1689,Juaquin Hawkins,2.3,0.8,1.3,0.3,1.1,0.5,0.1,0.5,58.0,11.8,1.0,2.6,0.38,0.42,0.2,0.3,0.5
1690,Shamorie Ponds,2.3,0.5,0.3,0.0,0.3,0.0,0.3,0.0,4.0,2.8,0.8,1.3,0.6,0.7,0.5,0.5,1.0
1691,Mark Jones,2.3,0.6,1.3,0.6,0.7,0.5,0.2,0.3,10.0,11.6,0.9,3.1,0.29,0.29,0.5,1.0,0.5
1692,Furkan Aldemir,2.3,0.7,4.3,1.9,2.4,0.4,0.4,0.4,41.0,13.2,1.0,1.9,0.51,0.51,0.3,0.7,0.48
1693,Naz Mitrou-Long,2.3,0.9,0.6,0.03,0.6,0.1,0.1,0.4,6.67,5.47,0.87,1.93,0.55,0.75,0.03,0.03,1.0
